ADROIT PMS SERVICES PVT LTD,,,,,,,,,
"MUMBAI
MUMBAI
MAHARASHTRA",,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,
From 01/01/2020 To 30/06/2020,,,,,,,,,
Account : 6010001     RUBY DECOSTA   - ADT001,,,,,,,,,
ADROITPMS1,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount,TDS Amount,Net Amount,Balance Amount
31/03/2020,,ICICI BANK LIMITED,782,1.00,782.00,0.00,0.00,782.00,
,,,,,782.00,0.00,0.00,782.00,782.00
,,,,,782.00,0.00,0.00,782.00,782.00
ADROIT PMS SERVICES PVT LTD,,,,,,,,,
"MUMBAI
MUMBAI
MAHARASHTRA",,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,
From 21/02/2020 To 30/06/2020,,,,,,,,,
Account : 6010002     TONY RODRIGUES   - ADT002,,,,,,,,,
ADROITPMS1,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount,TDS Amount,Net Amount,Balance Amount
31/03/2020,,ICICI BANK LIMITED,"2,137",1.00,"2,137.00",0.00,0.00,"2,137.00",
,,,,,"2,137.00",0.00,0.00,"2,137.00","2,137.00"
,,,,,"2,137.00",0.00,0.00,"2,137.00","2,137.00"
ADROIT PMS SERVICES PVT LTD,,,,,,,,,
"MUMBAI
MUMBAI
MAHARASHTRA",,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,
From 21/03/2020 To 30/06/2020,,,,,,,,,
Account : 6010003     DELL ROCY   - ADT003,,,,,,,,,
ADROITPMS1,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount,TDS Amount,Net Amount,Balance Amount
31/03/2020,,ICICI BANK LIMITED,406,1.00,406.00,0.00,0.00,406.00,
,,,,,406.00,0.00,0.00,406.00,406.00
,,,,,406.00,0.00,0.00,406.00,406.00
ADROIT PMS SERVICES PVT LTD,,,,,,,,,
"MUMBAI
MUMBAI
MAHARASHTRA",,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,
From 05/03/2020 To 30/06/2020,,,,,,,,,
Account : 6010004     MIRZA GALIB   - ADT004,,,,,,,,,
ADROITPMS1,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount,TDS Amount,Net Amount,Balance Amount
31/03/2020,,ICICI BANK LIMITED,"1,780",1.00,"1,780.00",0.00,0.00,"1,780.00",
,,,,,"1,780.00",0.00,0.00,"1,780.00","1,780.00"
,,,,,"1,780.00",0.00,0.00,"1,780.00","1,780.00"
ADROIT PMS SERVICES PVT LTD,,,,,,,,,
"MUMBAI
MUMBAI
MAHARASHTRA",,,,,,,,,
STATEMENT OF DIVIDEND,,,,,,,,,
From 01/01/2020 To 30/06/2020,,,,,,,,,
Account : 6010005     RYNA M   - ADT005,,,,,,,,,
ADROITPMS1,,,,,,,,,
Ex Date,Received Date,Security,Quantity,Rate/ Amount,Receivable Amount,Received Amount,TDS Amount,Net Amount,Balance Amount
31/03/2020,,ICICI BANK LIMITED,"1,789",1.00,"1,789.00",0.00,0.00,"1,789.00",
,,,,,"1,789.00",0.00,0.00,"1,789.00","1,789.00"
,,,,,"1,789.00",0.00,0.00,"1,789.00","1,789.00"
